姓名,职务,职称,核心研究方向,简介（30字内）,详细介绍（300字以内）,照片,课题,论文,专著,专利,软著,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于BERT预训练模型的医案类古籍知识关联与溯源研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林英,修复保护分实验室学术带头人,研究馆员,中医古籍保护与修复研究,20余年持续从事古籍版本鉴定、编目、古籍修复保护研究，阶段性成果较为丰富。,四川省第十二批学术和技术带头人后备人选。中国古籍保护协会古籍编目专业委员会委员、四川省古籍保护与地方文献建设专委会副主任委员等。主要从事古籍文献的整理、编目、版本鉴定和研究工作。主编、点校专著10部，副主编专著4部，主持古籍类部省级、厅局级项目17项，荣获四川省社会科学优秀成果奖三等奖两次、国家中管局科普大赛全国一等奖、四川省科技厅科普微视频二等奖等。先后获得文化部颁发的“全国古籍保护工作先进个人”、四川省人力资源和社会保障厅、四川省文化厅联合颁发的“四川省第一次全国可移动文物普查工作先进个人”、“四川省古籍保护工作示范工作者”等荣誉称号。,,苏轼医学思想整理研究及知识图谱构建,古籍文献修复可持续发展研究——以四川为例,巴蜀中医文献珍本汇刊（第一辑）,,中医抄本古籍大数据可视化分析系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《刘河间伤寒六种附二种》《保命歌括三十五卷》重点修复项目,明代医家徐用宣《袖珍小儿方》学术思想研究,巴蜀中医文献珍本汇刊（第二辑）,,巴蜀中医儿科医案数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,巴蜀儿科名家医案整理研究,非遗视域下高校传统文化美育教育路径研究——以成都中医药大学图书馆为例,民国时期温病学文献汇编,,巴蜀中医处方脉案数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《黄帝内经素问二十四卷》《万氏家传保命歌括三十五卷》重点古籍修复项目,方志视域下的传统廉洁文化叙事与现代价值——基于《（同治）重修成都县志》的考察,近代日本医籍中国汉译文献丛书,,中医疫病文献大数据可视化分析系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,中药材染纸与古籍修复保护研究,中医药古籍修复管理流程规范（团队标准，标准编号T/CIATCM 117—2024）,中国古医籍整理丛书续编 儿科醒,,巴蜀中医文库数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《白喉治法要言》治法用药探析,近代西医中国汉译文献丛书,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,数字人文视域下巴蜀中医特色资源知识库构建研究,川派中医名家珍本汇刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,芝屿樵客《儿科醒》儿科疾病诊治思想探骊,儿科古籍文献选读,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,巴蜀中医古籍知识库建设思路的探讨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,基于名医处方手迹浅析巴蜀医家遣方用药特点及思想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,中医药古籍著录规则（团队标准，标准编号T/CIATCM 115—2024 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
章红梅,展示传播分实验室骨干,教授,中医古籍文献整理,汉语言文字学博士，教授，硕士生导师。任教于成都中医药大学国学院，主要从事出土文献、中医古籍文献整理、研究以及汉语言文字学研究。,汉语言文字学博士，教授，硕士生导师。任教于成都中医药大学国学院，主要从事出土文献、中医古籍文献整理、研究以及汉语言文字学研究。主讲《医古文》、《中医文献学专论》等课程。先后主持并完成国家社科基金项目、国家出版资助基金项目、教育部古委会项目、教育部一般项目、教育部青年项目、国家中医药管理局子项目、成都中医药大学校基金项目、成都中医药大学教改项目；主持并完成横向课题4项；主持成都中医药大学“杏林青年学者”项目、四川中医药文化协同发展研究中心重点项目、教育部古委会项目、四川省社科联项目各1项，目前在研；参与并完成国家社科基金项目2项、教育部项目1项。发表论文40余篇，其中CCSCI期刊论文14篇，核心期刊21篇，参编教材2部，主编及独著学术著作5部。学术成果先后荣获全国“优秀古籍图书奖”一等奖、四川省第十八次社会科学优秀成果二等奖，教学方面荣获成都中医药大学本科课堂教学质量二等奖。,√,基于语料库汉魏至隋唐石刻传抄古文异体字整理与研究,中国古代对温泉疗疾的认知与利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,中国古代涉医石刻文献的搜集、整理与研究,新见唐代《李承宗墓志》考释,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,汉魏至隋唐石刻文献与《汉语大字典》修订研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,唐代医家墓志文献整理与研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
